build,gtf,n_reps,depth,method,sensitivity,precision,f1,spearmans,alu_sensitivity,alu_precision,erv_sensitivity,erv_precision,hat_sensitivity,hat_precision,line_sensitivity,line_precision,mir_sensitivity,mir_precision,other_sensitivity,other_precision,mins,mem,n_cpu,cpu
chm13,ervmap,1,30,explorate,0.530144604820374,0.620301697602463,0.571690478125417,0.58653201386285,0,0,0.5319713076103456,0.9967793924337021,0,0,0.4974630778806798,1.0,0,0,0.5237355038672056,0.018004334460776757,30.0,45.86,36.0,159.5
chm13,ervmap,1,30,lions,0.207532753535442,0.579255096642978,0.305582769684343,0.583327749087306,0,0,0.20762547209232382,0.9999967952621155,0,0,0.18687213535281136,1.0,0,0,0.19199427220228169,0.015167414618172616,156.0,14.11,36.0,667.5
chm13,ervmap,1,30,squire,0.565591759465241,0.54206808813728,0.553580134520759,0.588644708884032,0,0,0.5666188031367246,0.9938212147500359,0,0,0.5227757134504027,1.0,0,0,0.5771133029986152,0.013597466600640009,31.0,50.599999999999994,36.0,55.5
chm13,ervmap,1,30,te-saem,0.538674381197749,0.578338733678942,0.557802330765982,0.587517381745162,0,0,0.539904610069706,0.9979239996949952,0,0,0.5072976592413754,1.0,0,0,0.579864153218589,0.016477288849935993,76.5,51.2,36.0,88.5
chm13,ervmap,1,30,telescope,0.707696854317519,0.972257768939851,0.819145654458656,0.576914258876517,0,0,0.7252754260031602,0.9966373543814895,0,0,0.26949846275722883,1.0,0,0,0.7586317346371609,0.3272086011718528,143.0,49.199999999999996,72.0,1322.0
chm13,ervmap,1,30,telocal,0.272905623129949,0.539626220247389,0.362489251576279,0.159300408836819,0,0,0.272052378404898,0.9993685657357696,0,0,0.2512892091216025,1.0,0,0,0.30803870031747826,0.014796084363654793,17.5,69.465,72.0,34.5
chm13,ervmap,1,30,tetools,0.521750628635506,0.630658821816551,0.571058553204745,0.581990327713083,0,0,0.5246554846104778,0.9986876199945326,0,0,0.44222419224022486,1.0,0,0,0.5199483744547758,0.01887767579390936,3.0,14.07,36.0,24.0
chm13,ervmap,1,30,texp,0.000711565294416736,0.000880288248741991,0.000786985171568927,-0.00998970307883103,0,0,0.0005324207767643189,1.0,0,0,0.0,0,0,0,0.019114640740845415,0.00026739803785981935,31.0,8.629999999999999,36.0,240.0
chm13,ervmap,1,50,ervmap,0.983297774880984,0.550954480912789,0.706210224682991,0.942413207821196,0,0,0.980553852677308,0.5505235787880594,0,0,1.0,0.5824626986007682,0,0,0.999490722664539,0.5327672794727555,14.5,18.810000000000002,36.0,96.5
chm13,ervmap,1,50,explorate,0.531173939271502,0.621479723217736,0.572789283549446,0.582911447933774,0,0,0.5322498027383615,0.9966869388835919,0,0,0.4947508299249637,1.0,0,0,0.513170477758727,0.01772250698587816,34.0,48.46,36.0,200.0
chm13,ervmap,1,50,lions,0.201691533861291,0.547842062354091,0.294836966422459,0.587870218414686,0,0,0.20199318426453827,0.9999808566769105,0,0,0.183247913451886,1.0,0,0,0.19207111775057858,0.014060900605178379,282.5,12.665,36.0,1117.0
chm13,ervmap,1,50,squire,0.566932543488392,0.543474994095155,0.554955996417707,0.58713603730532,0,0,0.5668991137143758,0.9934830528060016,0,0,0.5206945611327904,1.0,0,0,0.559837257598135,0.01326710619920573,48.5,51.0,36.0,88.5
chm13,ervmap,1,50,te-saem,0.540095309945175,0.579437211965857,0.559074996867911,0.584864313074879,0,0,0.5406201632562988,0.9982614681914665,0,0,0.5058076692529351,1.0,0,0,0.5706395957469684,0.016248414940085942,145.5,59.37,36.0,164.0
chm13,ervmap,1,50,telescope,0.708251024871383,0.971987954086437,0.819420895795847,0.573153320135848,0,0,0.7246616217023472,0.9965646964893579,0,0,0.2645721342612765,1.0,0,0,0.7578442856253643,0.32030220483250305,252.5,76.00999999999999,72.0,2155.5
chm13,ervmap,1,50,telocal,0.275458936126411,0.541270669349742,0.365109435817712,0.160991002366611,0,0,0.2733259262296476,0.9995928137230066,0,0,0.2559178043278872,1.0,0,0,0.30595684723377525,0.014674344038990456,21.0,74.94000000000001,72.0,42.5
chm13,ervmap,1,50,tetools,0.522580156864098,0.631603068944788,0.571942519115533,0.578930527329619,0,0,0.5247142914765305,0.9986666257230586,0,0,0.4413732339268992,1.0,0,0,0.5084738089983647,0.018553734553868353,4.0,14.42,36.0,43.5
chm13,ervmap,1,50,texp,0.000708807530625608,0.000876791988981868,0.000783901302816241,-0.00971710340008207,0,0,0.0005181639050037285,1.0,0,0,0.0,0,0,0,0.018045393586500754,0.0002530542874847475,52.0,12.99,36.0,403.0
chm13,explorate,1,2,ervmap,0.000708379268100087,0.194854491775622,0.00141162667057767,0.000645332521679305,0.0,0,0.004835420914651908,0.5297872340425532,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,7.22,36.0,2.0
chm13,explorate,1,2,explorate,0.95796029702864,0.999532850078472,0.978305121901571,0.927196843546494,0.9444534713678884,0.9992386846435325,0.9710845713176036,0.9988813870800207,0.98177178271965,1.0,0.972080153434291,0.9997020813215262,0.9714427244582043,1.0,0.8736873687368737,1.0,28.0,47.785,36.0,132.5
